userId,movieId,rating,timestamp
19,1845,3.0,965706276
525,1947,3.0,1476478078
546,1970,4.0,973588711
600,3108,5.0,1237713165
233,187593,2.5,1536968163
73,152081,5.0,1464196315
603,2351,4.0,953926481
480,1391,2.0,1179178383
410,2769,4.0,990807424
330,317,0.5,1285905480
555,2134,4.0,978822796
456,802,4.0,856883450
334,1136,4.0,1225478123
232,4958,3.5,1135663826
64,4973,5.0,1161520450
528,2278,5.0,1391734394
89,4890,2.5,1520408419
51,34338,5.0,1230930704
171,801,5.0,866904485
222,3623,1.5,1391354095
33,608,4.0,939647444
559,516,3.0,845476500
198,2324,5.0,1034136119
66,2628,3.0,1113190079
483,2000,3.5,1181495080
570,587,3.5,1181477306
195,4720,5.0,1008557729
580,5878,4.0,1167790782
453,3254,5.0,1005967416
400,3578,4.0,1498870383
381,6377,5.0,1200824415
375,500,3.0,1225314367
117,1028,4.0,844163734
140,3681,4.0,960561697
4,4027,3.0,986849201
217,1129,3.0,955940667
268,2324,2.0,940266931
555,2724,3.0,978840994
448,6645,2.5,1064154408
305,88129,4.0,1460136304
305,61350,3.0,1518199057
468,1,4.0,831400444
156,1080,2.5,1106855224
202,2288,4.0,974921268
177,7381,2.0,1435837126
600,3081,3.0,1237764511
298,58998,3.0,1447516923
606,7382,4.5,1171233924
41,112556,3.0,1458939634
566,432,2.0,849005826
482,474,3.5,1105396882
483,5628,4.5,1415579708
469,2412,1.0,965335115
599,4929,2.5,1498516518
22,69122,0.5,1268727419
274,59022,4.0,1221511744
527,1333,5.0,1033174126
489,7367,0.5,1333297223
249,112175,3.5,1409828417
249,8340,4.0,1357907718
596,4973,4.0,1535708250
503,500,3.5,1335219433
77,58559,5.0,1535107519
178,377,3.5,1164355249
387,2642,1.5,1095041383
410,1859,4.0,990807705
212,3578,3.0,1490121411
288,4042,3.0,979164576
479,4372,2.0,1039367551
599,464,2.0,1498510125
10,5943,3.0,1455303078
362,1266,4.5,1530641277
414,2369,2.0,961437670
495,142488,5.0,1458634614
373,480,4.0,846829926
610,88327,3.0,1479544228
414,7376,3.5,1082736161
469,2599,4.0,965336920
596,133645,4.0,1535828766
249,37731,4.5,1355677969
62,116823,4.0,1521490236
603,2023,2.0,963177853
57,1673,4.0,972173743
226,4502,3.5,1095694860
555,541,4.0,978819723
318,5137,3.5,1299244376
498,292,3.0,839197282
474,8410,3.5,1097034394
292,1573,2.0,1483193952
599,117630,1.0,1519373031
357,7444,4.5,1348627951
265,1962,4.0,965317961
182,5999,2.5,1066666938
177,86833,4.0,1435804463
42,3098,4.0,996258272
492,103,3.0,863976674
215,2692,4.5,1260908700
305,1073,5.0,1518197910
210,48780,4.0,1528550859
91,595,3.0,1112711215
292,7573,4.0,1332678587
308,33615,1.0,1421375259
305,63062,3.0,1460136820
555,2862,1.0,978823667
307,364,3.0,1186160981
495,80906,4.5,1458636775
274,3861,3.5,1171829501
492,36,4.0,863976004
554,2567,4.0,944899564
280,5989,4.5,1348532480
177,367,3.0,1435890503
583,239,4.5,1481474354
474,1302,3.5,1053021069
603,296,5.0,953925131
292,97923,2.0,1362267967
286,7438,5.0,1119563956
331,4223,4.0,1537158152
91,6218,1.5,1112716514
339,4310,3.0,1460182204
546,1327,3.0,973588711
538,3671,4.5,1307845499
119,70286,4.5,1438439649
284,339,4.0,832786477
356,3363,4.5,1228072634
417,858,5.0,1529283518
263,8961,3.5,1120071482
563,42732,3.5,1441846021
15,6377,3.0,1510577979
551,89745,4.0,1504925210
425,208,4.0,1114173719
239,45950,4.0,1221159670
603,1617,5.0,953925050
245,1189,4.0,951182799
282,2115,4.0,1378495009
219,413,3.5,1195944805
606,2243,4.0,1171408280
555,3664,2.0,978842188
153,1258,3.0,1525550826
247,2085,3.5,1467935459
200,5349,3.5,1229885797
287,2599,4.0,1110231612
112,25,2.5,1513989973
448,2050,3.0,1019125449
356,3421,5.0,1229140036
474,42004,4.0,1148784029
57,158,1.0,972175275
256,102445,4.0,1446580943
68,3275,3.5,1158533963
605,47384,2.5,1277176984
277,786,4.0,861812827
590,3836,3.5,1264193749
19,339,3.0,965706365
6,54,4.0,845555402
380,115877,3.0,1493422244
275,3362,5.0,1049078088
134,344,3.0,832841003
414,1517,5.0,961438327
339,4973,5.0,1460182923
68,4995,3.5,1158531267
606,2291,4.0,1171361033
490,4226,4.0,1334940351
68,116797,3.5,1526947636
448,2088,3.0,1028110796
294,1883,5.0,966595538
446,16,3.0,843839544
525,63113,3.0,1476476297
579,2396,5.0,959490014
331,1391,3.5,1537235369
490,5673,2.5,1328146372
198,2985,2.0,1039797046
232,34319,4.0,1126409221
414,5970,2.5,1053624533
456,1405,4.0,856883559
469,111,5.0,965662075
77,3578,5.0,1535107514
356,7438,3.5,1232430761
312,608,4.0,1043177445
253,44633,4.5,1286644149
555,3918,3.0,978823527
274,69251,3.5,1259707141
432,1835,5.0,1315244490
21,45672,3.0,1419794605
480,5955,3.0,1179163610
68,3968,3.0,1261624183
292,64231,2.0,1294598551
309,4326,4.0,1126452392
603,471,4.0,954482443
331,88129,5.0,1537158250
102,356,5.0,835876195
338,177765,2.5,1530148369
220,8665,4.0,1230060248
599,136012,1.5,1498504862
514,2148,2.5,1533874769
390,2288,4.0,1250274206
156,648,3.5,1106854675
414,1343,4.0,961681965
583,593,2.5,1481474404
74,1635,4.5,1207499263
425,3081,4.0,1106483092
474,5303,2.0,1046887940
448,96737,2.0,1382793786
587,3244,4.0,953139728
287,1101,0.5,1110229962
217,1687,3.0,955941099
387,1094,4.0,1095040674
351,80831,3.5,1328296463
232,7438,3.0,1192670496
600,7444,3.0,1237708547
217,1677,2.0,955944348
434,2699,2.5,1271039365
599,5961,1.5,1498503879
153,105844,4.0,1525548778
232,6862,3.5,1218165478
334,231,3.5,1225477886
292,1302,3.0,1265679763
280,916,4.0,1348434789
606,3684,4.0,1171375850
580,3070,2.0,1167792687
28,6974,3.0,1242033113
414,6809,3.0,1065800034
45,3510,4.0,959624004
190,6936,3.5,1504310447
414,3791,4.0,963413835
63,1704,3.5,1443199847
600,2065,4.5,1237759756
393,3826,3.0,1430507545
217,1488,3.0,955941273
434,1089,4.0,1270603496
61,593,4.0,1145532720
177,67734,2.0,1435804423
176,588,3.0,840108593
543,5481,0.5,1377068503
339,1994,2.0,1460182667
322,2858,4.5,1217676241
484,3882,4.0,1342298425
125,96588,4.0,1476314010
610,82641,3.0,1479544236
68,56339,3.5,1261085755
580,2117,4.0,1167793054
108,3072,3.0,1042838877
137,1228,4.5,1204863671
380,48394,5.0,1494071230
273,520,3.0,835860928
274,555,3.0,1171409529
135,4027,3.0,1009692509
368,3724,2.0,971274957
232,48593,2.5,1178309795
562,7160,4.0,1368897230
596,7458,2.5,1535708569
28,3996,2.5,1234515852
6,490,3.0,845554584
21,108156,3.0,1403460188
474,3076,3.0,1087832134
19,1550,2.0,965706866
462,1196,2.5,1123893572
274,8464,3.5,1173041153
160,1219,3.0,971195858
606,47894,4.0,1179440159
182,1200,4.5,1064782813
330,1,4.0,1285904910
572,1259,4.0,945888944
558,4164,3.0,1035415962
361,1393,3.5,1204047992
474,1196,5.0,983034060
121,344,3.0,847655927
160,165,3.0,971115317
85,1183,4.0,889466862
606,1653,3.5,1191610031
